aw,sucrose,glucose
0.965191780,0.218000000,0.011000000
0.932018464,0.315000000,0.016000000
0.900120424,0.426000000,0.021000000
0.869443583,0.525000000,0.026000000
0.839936356,0.577000000,0.029000000
0.825605879,0.606000000,0.030000000
0.784236140,0.669000000,0.033000000
0.745181267,0.753000000,0.038000000
0.784236140,0.773000000,0.039000000
0.996184936,0.055000000,0.000000000
0.989202147,0.106000000,0.000000000
0.985731378,0.215000000,0.000000000
0.958452412,0.320000000,0.000000000
0.938549329,0.445000000,0.000000000
0.900120424,0.596000000,0.000000000
0.869443583,0.650000000,0.000000000
0.752814048,0.760000000,0.000000000
0.708298476,0.785000000,0.000000000
0.599397747,0.820000000,0.000000000
0.543152662,0.865000000,0.000000000
0.992686646,0.000000000,0.045000000
0.985731378,0.000000000,0.055000000
0.978830794,0.000000000,0.105000000
0.975400860,0.000000000,0.120000000
0.955102559,0.000000000,0.210000000
0.951765851,0.000000000,0.250000000
0.945131642,0.000000000,0.335000000
0.938549329,0.000000000,0.410000000
0.900120424,0.000000000,0.450000000
0.869443583,0.000000000,0.555000000
0.811549529,0.000000000,0.640000000
0.765731379,0.000000000,0.815000000
0.640525113,0.000000000,0.875000000
