aw,lysine
0.998309565,0.001798238
0.996675199,0.003590020
0.995064311,0.005375381
0.993466036,0.007154355
0.991837601,0.008926977
0.990157957,0.010693281
0.988339045,0.012453300
0.986470237,0.014207068
0.984536131,0.015954618
0.982602216,0.017695983
0.978839711,0.021160289
0.975399754,0.024600246
0.971983891,0.028016109
0.968591869,0.031408131
0.965223439,0.034776561
0.956903982,0.043096018
0.948726713,0.051273287
0.940688019,0.059311981
0.932784406,0.067215594
0.925012498,0.074987502
0.917369030,0.082630970
0.909850844,0.090149156
