aw,fructose
0.998995395,0.001006013
0.997985923,0.002022563
0.996938985,0.003078227
0.995901811,0.004119154
0.994789555,0.005238135
0.993828848,0.006205175
0.992557488,0.007482768
0.991484670,0.008558793
0.990297055,0.009754392
0.989113252,0.010940061
0.987738488,0.012321516
0.986079550,0.013982933
0.984093274,0.015986017
0.982009780,0.018085204
0.979996962,0.020104539
0.977822863,0.022289544
0.969678962,0.030404868
0.958301845,0.041466792
0.948835297,0.050466727
0.937127862,0.061294065
0.905188111,0.089012848
