aw,glycylglycine
0.999091599,0.001852085
0.999077134,0.001882596
0.998207299,0.003756329
0.998179378,0.003817116
0.997422397,0.005484081
0.997371504,0.005590976
0.996647605,0.007216504
0.996608213,0.007314151
0.995833504,0.009096816
0.995789187,0.009194093
0.995047208,0.010911864
0.994961835,0.011112734
0.994314843,0.012644764
0.994222863,0.012855464
0.993506506,0.014527334
0.993379945,0.014833404
0.992007969,0.018066098
0.991899290,0.018335255
0.990849407,0.020804595
0.990740520,0.021060168
0.989724792,0.023429941
0.989622276,0.023687580
0.989413867,0.024161281
0.989255015,0.024543683
0.988559349,0.026135225
0.988443291,0.026408516
0.987706358,0.028080779
0.987583397,0.028390394
0.987546833,0.028449913
