aw,sucrose
0.996517939,0.006745755
0.982266221,0.030274444
0.963215384,0.055316165
0.995278685,0.005491208
0.981598900,0.031217113
0.961324551,0.057599978
0.993080736,0.012967800
0.980563908,0.032451483
0.951912928,0.068359988
0.992993585,0.013106430
0.980374789,0.032950416
0.949039926,0.071577666
0.991779063,0.015207426
0.980130927,0.033302393
0.947433070,0.073361523
0.991296283,0.016033112
0.974793744,0.040693203
0.943506185,0.077494761
0.990497920,0.017389950
0.969529417,0.047538975
0.938889705,0.082442940
0.988363690,0.020904768
0.968405177,0.048958669
0.937142693,0.084229142
0.985114928,0.026001941
0.967114077,0.050604767
0.927123713,0.094528840
0.984180882,0.027431989
