aw,sucrose,mannitol
0.992616928,0.011061746,0.002849372
0.992616928,0.008164766,0.005917990
0.992616928,0.005574310,0.008666019
0.992616928,0.002760940,0.011645662
0.990945078,0.013391592,0.003448410
0.990945078,0.009905250,0.007183697
0.990945078,0.006776649,0.010538503
0.990945078,0.003362749,0.014183719
0.985960963,0.020681274,0.004439730
0.985960963,0.016576904,0.008961675
0.985960963,0.012488178,0.013479581
0.985960963,0.008796347,0.017554107
0.983459408,0.021703130,0.007592860
0.982266221,0.020672123,0.010801917
0.982266221,0.018330685,0.013417036
0.980374789,0.028116910,0.005522063
0.980374789,0.022756135,0.011573776
0.980374789,0.017640719,0.017404304
0.980130927,0.027790152,0.006254089
0.980130927,0.025688977,0.008647654
0.980130927,0.019569366,0.015606478
0.968405177,0.043335986,0.006630212
0.968405177,0.039025291,0.011678515
0.968405177,0.033669855,0.017929236
0.958017251,0.058982973,0.002974159
0.958017251,0.056983897,0.005445376
0.958017251,0.054989971,0.007828697
0.958017251,0.052225256,0.011064687
0.931461427,0.086645750,0.004370523
0.931461427,0.083732163,0.007999503
0.931461427,0.080973579,0.011527250
0.996517939,0.006745755,0.000000000
0.982266221,0.030274444,0.000000000
0.963215384,0.055316165,0.000000000
0.995278685,0.005491208,0.000000000
0.981598900,0.031217113,0.000000000
0.961324551,0.057599978,0.000000000
0.993080736,0.012967800,0.000000000
0.980563908,0.032451483,0.000000000
0.951912928,0.068359988,0.000000000
0.992993585,0.013106430,0.000000000
0.980374789,0.032950416,0.000000000
0.949039926,0.071577666,0.000000000
0.991779063,0.015207426,0.000000000
0.980130927,0.033302393,0.000000000
0.947433070,0.073361523,0.000000000
0.991296283,0.016033112,0.000000000
0.974793744,0.040693203,0.000000000
0.943506185,0.077494761,0.000000000
0.990497920,0.017389950,0.000000000
0.969529417,0.047538975,0.000000000
0.938889705,0.082442940,0.000000000
0.988363690,0.020904768,0.000000000
0.968405177,0.048958669,0.000000000
0.937142693,0.084229142,0.000000000
0.985114928,0.026001941,0.000000000
0.967114077,0.050604767,0.000000000
0.927123713,0.094528840,0.000000000
0.984180882,0.027431989,0.000000000
0.998052917,0.000000000,0.003883258
0.997300913,0.000000000,0.005378945
0.996517939,0.000000000,0.006932331
0.995355840,0.000000000,0.009215315
0.995278685,0.000000000,0.009365609
0.993838450,0.000000000,0.012182665
0.993158013,0.000000000,0.013502803
0.992993585,0.000000000,0.013835790
0.992062303,0.000000000,0.015603858
0.991779063,0.000000000,0.016163908
0.990750420,0.000000000,0.018154676
0.990497920,0.000000000,0.018642435
0.990023945,0.000000000,0.019540309
0.988832783,0.000000000,0.021808852
0.988448266,0.000000000,0.022551228
