T,sucrose,glucose,fructose
101.0,0.101,0.051,0.051
102.0,0.208,0.011,0.011
102.5,0.308,0.015,0.015
103.0,0.414,0.021,0.021
104.0,0.516,0.026,0.026
106.0,0.564,0.029,0.029
107.0,0.615,0.031,0.031
108.0,0.662,0.033,0.033
112.0,0.746,0.037,0.037
119.0,0.766,0.039,0.039
100.1,0.055,0.0,0.0
100.3,0.106,0.0,0.0
100.4,0.215,0.0,0.0
101.2,0.320,0.0,0.0
101.8,0.445,0.0,0.0
103.0,0.596,0.0,0.0
104.0,0.650,0.0,0.0
108.2,0.760,0.0,0.0
110.0,0.785,0.0,0.0
115.0,0.820,0.0,0.0
118.0,0.865,0.0,0.0
101.0,0.218,0.011,0.0
102.0,0.315,0.016,0.0
103.0,0.426,0.021,0.0
104.0,0.525,0.026,0.0
105.0,0.577,0.029,0.0
105.5,0.606,0.030,0.0
107.0,0.669,0.033,0.0
108.5,0.753,0.038,0.0
107.0,0.773,0.039,0.0
101.0,0.105,0.0,0.006
102.0,0.213,0.0,0.011
103.0,0.325,0.0,0.016
103.5,0.424,0.0,0.021
104.0,0.529,0.0,0.027
105.5,0.574,0.0,0.029
107.5,0.670,0.0,0.033
109.0,0.704,0.0,0.035
114.0,0.773,0.0,0.039
101.0,0.0,0.024,0.024
101.5,0.0,0.033,0.033
103.0,0.0,0.055,0.055
103.5,0.0,0.109,0.109
104.0,0.0,0.159,0.159
105.0,0.0,0.219,0.219
106.0,0.0,0.272,0.272
108.0,0.0,0.322,0.327
115.0,0.0,0.387,0.387
120.0,0.0,0.419,0.419
100.2,0.0,0.045,0.0
100.4,0.0,0.055,0.0
100.6,0.0,0.105,0.0
100.7,0.0,0.120,0.0
101.3,0.0,0.210,0.0
101.4,0.0,0.250,0.0
101.6,0.0,0.335,0.0
101.8,0.0,0.410,0.0
103.0,0.0,0.450,0.0
104.0,0.0,0.555,0.0
106.0,0.0,0.640,0.0
107.7,0.0,0.815,0.0
113.0,0.0,0.875,0.0
100.1,0.0,0.0,0.045
100.3,0.0,0.0,0.060
100.4,0.0,0.0,0.095
100.6,0.0,0.0,0.115
101.1,0.0,0.0,0.205
101.2,0.0,0.0,0.255
101.3,0.0,0.0,0.340
102.5,0.0,0.0,0.460
104.9,0.0,0.0,0.585
108.4,0.0,0.0,0.680
122.0,0.0,0.0,0.820
130.0,0.0,0.0,0.870
